imageId,distance(km),imageFraction
C0923358,104152919,0.06389
C0923404,104148095,0.06389
C0923410,104143272,0.06389
C0923416,104138449,0.0639
C0923423,104132822,0.0639
C0923430,104127195,0.0639
C0923436,104122372,0.06391
C0923442,104117548,0.06391
C0923448,104112725,0.06391
C0923454,104107902,0.06392
C0923501,104102275,0.06392
C0923508,104096648,0.06392
C0923514,104091825,0.06393
C0923520,104087002,0.06393
C0923526,104082178,0.06393
C0923533,104076551,0.06394
C0923540,104070924,0.06394
C0923624,104035554,0.06396
C0923629,104072681,0.00046
C0923642,99458937,0.00046
C0923648,99454432,0.00046
C0923654,99449927,0.00046
C0923859,103910955,0.06404
C0923905,103906132,0.06404
C0923912,103900505,0.06404
C0923919,103894878,0.06405
C0923926,103889251,0.00857
C0924327,103695519,0.06417
C0924333,103690696,0.06417
C0924340,103685069,0.06418
C0924347,103679442,0.06418
C0924354,103673815,0.00858
C0924755,103480084,0.0643
C0924801,103475261,0.06431
C0924808,103469634,0.06431
C0924815,103464007,0.06431
C0924822,103458380,0.0086
C0925223,103264649,0.06444
C0925229,103259826,0.06444
C0925236,103254199,0.06444
C0925243,103248572,0.06445
C0925250,103242945,0.00862
C0925305,103230887,0.06446
C0926547,102618350,0.06484
C0926553,102613527,0.06485
C0926559,102608704,0.06485
C0926606,102603077,0.06485
C0926613,102597450,0.06486
C0927013,102404527,0.06498
C0927019,102399704,0.06498
C0927025,102394881,0.06499
C0927033,102388450,0.06499
C0927040,102382823,0.06499
C0928339,101756632,0.06539
C0928345,101751809,0.0654
C0928352,101746182,0.0654
C0928359,101740556,0.0654
C0928406,101734929,0.00875
C0928425,101719656,0.06542
C0929703,101110355,0.06581
C0929709,101105532,0.06581
C0929715,101100709,0.06582
C0929722,101095082,0.06582
C0929729,101089455,0.06582
C0930129,100896538,0.06595
C0930135,100891715,0.06595
C0930141,100886893,0.06596
C0930149,100880462,0.06596
C0930156,100874835,0.06596
C0930229,100848309,0.06598
C0930234,100977913,0.00048
C0930559,100679507,0.06609
C0930605,100674684,0.0661
C0930612,100669058,0.0661
C0930619,100663431,0.0661
C0930626,100657804,0.00884
C0931027,100464084,0.06623
C0931033,100459261,0.06624
C0931040,100453635,0.06624
C0931047,100448008,0.06625
C0931054,100442381,0.00886
C0931455,100248662,0.06638
C0931501,100243839,0.06638
C0931508,100238212,0.06638
C0931515,100232585,0.06639
C0931522,100226959,0.00888
C0932759,99556152,0.00367
C0932804,99556152,0.00049
C0932819,99602394,0.06681
C0932825,99597571,0.06681
C0932831,99592748,0.06681
C0932838,99587121,0.06682
C0932845,99581495,0.06682
C0933245,99388578,0.06695
C0933251,99383756,0.06695
C0933257,99378933,0.06696
C0933305,99372502,0.06696
C0933312,99366875,0.06697
C0935935,98094414,0.06783
C0935941,98089591,0.06784
C0935948,98083964,0.06784
C0935955,98078338,0.06785
C0936002,98072711,0.00907
C0936030,93902987,0.00048
C0936036,93898517,0.00048
C0936042,93894047,0.00048
C0936403,97878984,0.06798
C0936409,97874161,0.06799
C0936416,97868534,0.06799
C0936423,97862907,0.068
C0936430,97857281,0.00909
C0936831,97663553,0.06813
C0936837,97658730,0.06814
C0936844,97653103,0.06814
C0936851,97647476,0.06815
C0936858,97641849,0.00911
C0937259,97448121,0.06828
C0937305,97443298,0.06829
C0937312,97437671,0.06829
C0937319,97432044,0.0683
C0937326,97426417,0.00913
C0938610,96812267,0.06873
C0938623,96801817,0.06874
C0938629,96796993,0.06874
C0938636,96791366,0.06875
C0938643,96785739,0.06875
C0938650,96780112,0.00919
C0939051,96586380,0.06889
C0939057,96581557,0.0689
C0939104,96575930,0.0689
C0939111,96570303,0.06891
C0939118,96564675,0.00922
C0939519,96370943,0.06905
C0939525,96366119,0.06905
C0939532,96360492,0.06906
C0939539,96354865,0.06906
C0939546,96349238,0.00924
C0939608,96331553,0.06908
C0939947,96155504,0.0692
C0939953,96150681,0.06921
C0940000,96145054,0.06921
C0940007,96139427,0.06921
C0940014,96133800,0.00926
C0940415,95940066,0.06936
C0940421,95935243,0.06936
