fileid,volume,phase,craft,target,instrument,filter,note
C1467056,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467058,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467100,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467102,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467325,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467327,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467329,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467331,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467552,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467554,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467556,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467558,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467821,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467823,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467825,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1467827,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468050,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468052,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468054,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468056,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468319,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468321,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468323,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468325,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468548,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468552,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468554,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468817,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468819,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468821,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1468823,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469046,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469048,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469050,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469052,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469315,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469317,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
