compositeId,imageId,volume,filter

# Uranus
C0948217,C0948243,8201,Blue
C0948217,C0948249,8201,Violet
C0948255,C0948255,8201,Clear
C0948255,C0948301,8201,Green
C0948255,C0948308,8201,Orange
C0948255,C0948315,8201,Uv
C0948321,C0948321,8201,Clear
C0948321,C0948327,8201,Violet
C0948321,C0948333,8201,Blue
C0948321,C0948340,8201,Orange
C0948347,C0948347,8201,Clear
C0948353,C0948353,8201,Clear
C0948358,C0948358,8201,Ch4_Js
C0948414,C0948414,8201,Clear
C0948425,C0948425,8201,Violet
C0948436,C0948436,8201,Blue
C0948447,C0948447,8201,Orange
C0948458,C0948458,8201,Clear
C0948509,C0948509,8201,Green
C0948520,C0948520,8201,Green
C0948531,C0948531,8201,Uv
C0948542,C0948542,8201,Clear
C0948553,C0948553,8201,Violet
C0948604,C0948604,8201,Blue
C0948615,C0948615,8201,Orange
C0948626,C0948626,8201,Clear
C0948637,C0948637,8201,Green
C0948648,C0948648,8201,Green
C0948659,C0948659,8201,Uv
C0948710,C0948710,8201,Clear
C0948721,C0948721,8201,Violet
C0948732,C0948732,8201,Blue
C0948743,C0948743,8201,Orange
C0948754,C0948754,8201,Clear
C0948805,C0948805,8201,Green
C0948816,C0948816,8201,Green
C0948827,C0948827,8201,Uv
C0948838,C0948838,8201,Clear
C0948849,C0948849,8201,Violet
C0948900,C0948900,8201,Blue
C0948911,C0948911,8201,Orange
C0948922,C0948922,8201,Clear
C0948933,C0948933,8201,Green
C0948944,C0948944,8201,Green
C0948955,C0948955,8201,Uv
C0949006,C0949006,8201,Clear
C0949017,C0949017,8201,Violet
C0949028,C0949028,8201,Blue
C0949039,C0949039,8201,Orange
C0949050,C0949050,8201,Clear
C0949101,C0949101,8201,Green
C0949112,C0949112,8201,Green
C0949123,C0949123,8201,Uv
C0949134,C0949134,8201,Clear
C0949145,C0949145,8201,Violet
C0949156,C0949156,8201,Blue
C0949207,C0949207,8201,Orange
C0949218,C0949218,8201,Clear
C0949229,C0949229,8201,Green
C0949240,C0949240,8201,Green
C0949251,C0949251,8201,Uv
C0949302,C0949302,8201,Clear
C0949313,C0949313,8201,Violet
C0949324,C0949324,8201,Blue
C0949335,C0949335,8201,Orange
C0949346,C0949346,8201,Clear
C0949357,C0949357,8201,Green
C0949408,C0949408,8201,Green
C0949419,C0949419,8201,Uv
C0949430,C0949430,8201,Clear
C0949441,C0949441,8201,Violet
C0949452,C0949452,8201,Blue
C0949503,C0949503,8201,Orange
C0949514,C0949514,8201,Clear
C0949525,C0949525,8201,Green
C0949536,C0949536,8201,Green
C0949547,C0949547,8201,Uv
C0949558,C0949558,8201,Clear
C0949609,C0949609,8201,Violet
C0949620,C0949620,8201,Blue
C0949631,C0949631,8201,Orange
C0949642,C0949642,8201,Clear
C0949653,C0949653,8201,Green
C0949704,C0949704,8201,Green
C0949715,C0949715,8201,Uv
C0949726,C0949726,8201,Clear
C0949737,C0949737,8201,Violet
C0949748,C0949748,8201,Blue
C0950556,C0950556,8202,Clear
C0950614,C0950614,8202,Clear
C0950623,C0950623,8202,Clear
C0950659,C0950659,8202,Clear
C0950659,C0950705,8202,Violet
C0950659,C0950711,8202,Green
C0950659,C0950718,8202,Orange
C0950659,C0950725,8202,Uv
C0951125,C0951125,8202,Clear
