C3413035,6107,0.719,0.021,0.14
C3413041,6107,0.468,0.564,0.013
C3413047,6107,0.544,0.575,0.013
C3413053,6107,0.503,0.394,0.436
C3413541,6107,0.21,0.168,0.171
C3414554,6107,0.559,0.545,0.006
C3415843,6107,0.521,0.971,0.028
C3415849,6107,0.657,0.021,0.171
C3415855,6107,0.479,0.596,0.014
C3415901,6107,0.556,0.606,0.014
C3415907,6107,0.503,0.4,0.439
C3416547,6107,0.255,0.215,0.217
C3418028,6107,0.134,0.714,0.007
C3418931,6107,0.536,0.971,0.042
C3418937,6107,0.93,0.104,0.052
C3418943,6107,0.468,0.47,0.014
C3418949,6107,0.487,0.531,0.014
C3418955,6107,0.502,0.423,0.451
C3419400,6107,0.291,0.214,0.219
C3420456,6107,0.316,0.598,0.01
C3421110,6107,0.284,0.978,0.019
C3421116,6107,0.115,0.988,0.049
C3422019,6107,0.598,0.5,0.01
C3422025,6107,0.454,0.596,0.01
C3422031,6107,0.528,0.61,0.01
C3422037,6107,0.572,0.598,0.01
C3422043,6107,0.61,0.022,0.195
C3422114,6107,0.31,0.261,0.231
C3422140,6107,0.514,0.364,0.01
C3423230,6107,0.56,0.618,0.01
C3424833,6107,0.478,0.606,0.01
C3424839,6107,0.362,0.606,0.01
C3424845,6107,0.436,0.526,0.01
C3424851,6107,0.346,0.526,0.01
C3424857,6107,0.502,0.422,0.451
C3424928,6107,0.38,0.139,0.111
C3426656,6107,0.744,0.398,0.011
C3427021,6107,0.642,0.441,0.193
C3427921,6107,0.51,0.466,0.011
C3427927,6107,0.33,0.544,0.011
C3427933,6107,0.414,0.466,0.011
C3427939,6107,0.51,0.386,0.011
C3427945,6107,0.501,0.422,0.451
C3428016,6107,0.816,0.59,0.011
C3428337,6107,0.655,0.423,0.007
C3429911,6107,0.297,0.358,0.004
C3430041,6107,0.265,0.247,0.238
C3431009,6107,0.472,0.51,0.012
C3431015,6107,0.444,0.632,0.012
C3431021,6107,0.49,0.602,0.012
C3431027,6107,0.384,0.628,0.012
C3431033,6107,0.502,0.022,0.249
C3431244,6107,0.442,0.236,0.012
C3432300,6107,0.212,0.687,0.007
C3432725,6107,0.466,0.326,0.012
C3433823,6107,0.356,0.668,0.012
C3433829,6107,0.566,0.59,0.012
C3433835,6107,0.366,0.658,0.012
C3433841,6107,0.43,0.604,0.012
C3433847,6107,0.791,0.026,0.037
C3433912,6107,0.52,0.971,0.013
C3433918,6107,0.703,0.908,0.01
C3434332,6107,0.314,0.364,0.013
C3435656,6107,0.394,0.481,0.005
C3436107,6107,0.486,0.456,0.013
C3436113,6107,0.38,0.636,0.013
C3436119,6107,0.618,0.63,0.013
C3436125,6107,0.398,0.61,0.013
C3436131,6107,0.162,0.291,0.004
C3437556,6107,0.641,0.035,0.007
C3437613,6107,0.281,0.976,0.032
C3437618,6107,0.991,0.929,0.007
C3437624,6107,0.505,0.246,0.006
C3437629,6107,0.991,0.929,0.007
C3439353,6107,0.552,0.668,0.014
C3441312,6108,0.614,0.812,0.015
C3441332,6108,0.382,0.712,0.015
C3441338,6108,0.486,0.668,0.015
C3441344,6108,0.496,0.64,0.015
C3441350,6108,0.428,0.638,0.015
C3441356,6108,0.501,0.622,0.008
C3441420,6108,0.536,0.055,0.03
C3441656,6108,0.363,0.11,0.09
C3441820,6108,0.605,0.793,0.008
C3442047,6108,0.302,0.974,0.011
C3442050,6108,0.591,0.775,0.073
C3442054,6108,0.293,0.975,0.011
C3442057,6108,0.569,0.709,0.072
C3442114,6108,0.134,0.43,0.015
C3442134,6108,0.508,0.648,0.015
C3442140,6108,0.384,0.65,0.015
C3442146,6108,0.436,0.612,0.015
C3442152,6108,0.398,0.594,0.015
C3442158,6108,0.511,0.538,0.009
C3442839,6108,0.446,0.568,0.015
C3442845,6108,0.354,0.716,0.015
C3442851,6108,0.31,0.488,0.015
C3442857,6108,0.37,0.628,0.015
C3442903,6108,0.458,0.596,0.009
C3442927,6108,0.286,0.744,0.015
C3443644,6108,0.51,0.466,0.016
C3443650,6108,0.378,0.516,0.016
C3443656,6108,0.324,0.564,0.016
C3443702,6108,0.4,0.588,0.015
C3443708,6108,0.48,0.563,0.009
C3444206,6108,0.408,0.698,0.016
C3444212,6108,0.466,0.646,0.016
C3444218,6108,0.472,0.61,0.016
C3444224,6108,0.374,0.616,0.016
C3444230,6108,0.51,0.58,0.016
C3444400,6108,0.488,0.099,0.085
C3444745,6108,0.334,0.782,0.016
C3444906,6108,0.502,0.076,0.062
C3444953,6108,0.438,0.616,0.016
C3444959,6108,0.43,0.664,0.016
C3445005,6108,0.43,0.538,0.016
C3445011,6108,0.248,0.462,0.016
C3445017,6108,0.444,0.486,0.016
C3445145,6108,0.192,0.875,0.008
C3445419,6108,0.389,0.131,0.102
C3445956,6108,0.294,0.624,0.016
C3446009,6108,0.3,0.594,0.016
C3446015,6108,0.436,0.682,0.016
C3446021,6108,0.384,0.512,0.016
C3446027,6108,0.384,0.496,0.016
C3446033,6108,0.5,0.577,0.013
C3446428,6108,0.327,0.485,0.021
C3446434,6108,0.482,0.5,0.016
C3446440,6108,0.386,0.516,0.016
C3446446,6108,0.41,0.538,0.016
C3446452,6108,0.535,0.564,0.02
C3446500,6108,0.716,0.974,0.007
C3446505,6108,0.992,0.931,0.005
C3446511,6108,0.167,0.097,0.008
C3446516,6108,0.992,0.93,0.004
C3446701,6108,0.461,0.093,0.075
C3447214,6108,0.744,0.52,0.004
