
# retargeting.csv
# handle multitarget images here
# --------------------------------------------------------------------------------

# Can remap an old target to a new target, e.g. if the TARGET field 
# says Io but Jupiter is what the frame gets centered on, can say:
# C72222,Io,Jupiter

# In the future should be able to add a record to include the frame in the Io movie as well,
# with appropriate x,y offsets to center the image on it:
# C72222a,Io,Io,245,89

# Note that oldTarget is not strictly necessary for retargeting info, 
# but it's here for context - it's double checked on generating a movie.

# This file does NOT need to be sorted - right now it's all read into memory for simplicity.
# Hopefully it won't get too big - if it does, might need to join on it.

# x,y are not used yet

imageId,oldTarget,newTarget,x,y

# Jupiter Voyager 1
# ----------------------------------------

# Amalthea
# narrow
# C2649215,Uranus,SomeMoon
# C2649221,Uranus,SomeMoon
# C2649227,Uranus,SomeMoon
# C2649233,Uranus,SomeMoon
# C2649239,Uranus,SomeMoon
# C2649245,Uranus,SomeMoon
# C2649251,Uranus,SomeMoon
# C2649257,Uranus,SomeMoon
# C2649303,Uranus,SomeMoon
# C2649309,Uranus,SomeMoon
# C2649315,Uranus,SomeMoon
# C2649321,Uranus,SomeMoon
# C2649327,Uranus,SomeMoon
# C2649333,Uranus,SomeMoon
# C2649339,Uranus,SomeMoon
# C2649345,Uranus,SomeMoon
# C2649351,Uranus,SomeMoon
# C2649403,Uranus,SomeMoon
# C2649409,Uranus,SomeMoon
# C2649415,Uranus,SomeMoon
# C2649427,Uranus,SomeMoon
# C2649457,Uranus,SomeMoon
# C2649509,Uranus,SomeMoon
# C2649515,Uranus,SomeMoon
# C2649557,Uranus,SomeMoon
# C2649603,Uranus,SomeMoon
# C2649609,Uranus,SomeMoon
# C2649615,Uranus,SomeMoon
# C2649621,Uranus,SomeMoon
# C2649627,Uranus,SomeMoon
# C2649633,Uranus,SomeMoon
# C2649639,Uranus,SomeMoon
# C2649645,Uranus,SomeMoon
# C2649651,Uranus,SomeMoon

# Ariel
C2457902,Ariel,Uranus
C2468426,Ariel,Uranus
C2479251,Ariel,Uranus
C2481850,Ariel,Uranus
C2481914,Ariel,Uranus
C2496759,Ariel,Uranus
C2496828,Ariel,Uranus
C2498759,Ariel,Uranus
C2532529,Ariel,Uranus
C2534620,Ariel,Uranus
C2534632,Ariel,Uranus
C2564741,Ariel,Uranus
C2586534,Ariel,Uranus
C2594730,Ariel,Uranus
C2654853,Ariel,Uranus
C2654859,Ariel,Uranus

# Miranda
C2520828,Miranda,Uranus
C2531144,Miranda,Uranus
C2531331,Miranda,Uranus
C2532541,Miranda,Uranus
C2533402,Miranda,Uranus
C2534529,Miranda,Uranus
C2562535,Miranda,Uranus
C2565902,Miranda,Uranus
C2567632,Miranda,Uranus
C2570529,Miranda,Uranus
C2570614,Miranda,Uranus
C2570626,Miranda,Uranus
C2580741,Miranda,Uranus
C2582646,Miranda,Uranus
C2582906,Miranda,Uranus
C2583632,Miranda,Uranus
C2618438,Miranda,Uranus

# Umbriel
C2457801,Umbriel,Uranus
C2473029,Umbriel,Uranus
C2520811,Umbriel,Uranus
C2583656,Umbriel,Uranus


# Neptune
# ----------------------------------------

# Triton
C0903842,Triton,Neptune
C0905525,Triton,Neptune
C0906319,Triton,Neptune
C0908647,Triton,Neptune
C0910445,Triton,Neptune
C0920723,Triton,Neptune
C0922714,Triton,Neptune
C0923624,Triton,Neptune
C0925305,Triton,Neptune
C0928425,Triton,Neptune
C0930229,Triton,Neptune
C0938610,Triton,Neptune
C0939608,Triton,Neptune
C0941719,Triton,Neptune
C0943518,Triton,Neptune
C0944547,Triton,Neptune
C0946304,Triton,Neptune
C0958709,Triton,Neptune
C0960454,Triton,Neptune
C0962718,Triton,Neptune
C0976259,Triton,Neptune
C0977113,Triton,Neptune
C0978338,Triton,Neptune
C0979806,Triton,Neptune
C0981456,Triton,Neptune
C0995322,Triton,Neptune
C0998625,Triton,Neptune
C1013202,Triton,Neptune
C1014631,Triton,Neptune
C1034200,Triton,Neptune

