"VGISS_7201","DATA/C24479XX/C2447902_RAW.LBL    ","C2447902_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0071U2-079",24479.02,"1985-11-06T18:56:07","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","BLUE  ",2,   5.7600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447908_RAW.LBL    ","C2447908_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0077U2-079",24479.08,"1985-11-06T19:00:55","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447914_RAW.LBL    ","C2447914_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0083U2-079",24479.14,"1985-11-06T19:05:43","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",4,   1.9200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447920_RAW.LBL    ","C2447920_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0089U2-079",24479.20,"1985-11-06T19:10:31","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","GREEN ",5,   7.6800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW-LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447925_RAW.LBL    ","C2447925_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0094U2-079",24479.25,"1985-11-06T19:14:31","UNKNOWN            ","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_U ",6,  15.3600,"1 OF 37-HR MOVIE A1 METHANE ATMOSPHERIC DYNAMICS IMAGES                         ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447931_RAW.LBL    ","C2447931_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0100U2-079",24479.31,"1985-11-06T19:19:19","UNKNOWN            ","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0,  15.3600,"1 OF 37-HR MOVIE A1 METHANE ATMOSPHERIC DYNAMICS IMAGES                         ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447936_RAW.LBL    ","C2447936_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0105U2-079",24479.36,"1985-11-06T19:23:19","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","GREEN ",6,   7.6800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447942_RAW.LBL    ","C2447942_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0111U2-079",24479.42,"1985-11-06T19:28:07","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  11.5200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447948_RAW.LBL    ","C2447948_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0117U2-079",24479.48,"1985-11-06T19:32:55","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   1.9200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24479XX/C2447954_RAW.LBL    ","C2447954_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0123U2-079",24479.54,"1985-11-06T19:37:43","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","VIOLET",1,   5.7600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448000_RAW.LBL    ","C2448000_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0129U2-079",24480.00,"1985-11-06T19:42:31","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","BLUE  ",2,   3.8400,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448006_RAW.LBL    ","C2448006_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0135U2-079",24480.06,"1985-11-06T19:47:19","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448012_RAW.LBL    ","C2448012_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0141U2-079",24480.12,"1985-11-06T19:52:07","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",4,   1.9200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448018_RAW.LBL    ","C2448018_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0147U2-079",24480.18,"1985-11-06T19:56:55","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","GREEN ",5,   7.6800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448023_RAW.LBL    ","C2448023_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0152U2-079",24480.23,"1985-11-06T20:00:55","UNKNOWN            ","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_U ",6,  15.3600,"1 OF 37-HR MOVIE A1 METHANE ATMOSPHERIC DYNAMICS IMAGES                         ","11111111","NONE  "
